date,pr,mm,mp,mc,weekday,hol,months,target
17/11/2018,1310,30,176,1973,Sat,N,10,2893
18/11/2018,1554,61,233,2523,Sun,N,10,2976
19/11/2018,1472,65,236,2858,Mon,N,10,2523
20/11/2018,1309,49,209,2323,Tue,N,10,2342
21/11/2018,1534,40,239,2537,Wed,N,10,2728
22/11/2018,1521,52,207,2263,Thu,N,10,2598
23/11/2018,1437,26,184,2337,Fri,N,10,2629
24/11/2018,1541,35,132,2100,Sat,N,10,2647
25/11/2018,1788,38,186,2809,Sun,N,10,3088
26/11/2018,1775,45,264,3323,Mon,N,10,3034
27/11/2018,1292,41,228,2460,Tue,N,10,2466
28/11/2018,1452,51,245,2629,Wed,N,10,2603
29/11/2018,1442,34,208,2309,Thu,N,10,2639
30/11/2018,1548,44,187,2371,Fri,N,10,2870
01/12/2018,1312,29,159,2099,Sat,N,11,2677
02/12/2018,1535,41,229,2692,Sun,N,11,3017
03/12/2018,1509,44,241,2787,Mon,N,11,2646
04/12/2018,1262,45,211,2363,Tue,N,11,2268
05/12/2018,1480,39,216,2618,Wed,N,11,2632
06/12/2018,1494,36,169,2198,Thu,N,11,2590
07/12/2018,1458,43,193,2408,Fri,N,11,2787
08/12/2018,1362,39,176,2162,Sat,N,11,2735
09/12/2018,1642,53,255,2705,Sun,N,11,2993
10/12/2018,1615,50,253,2805,Mon,N,11,2671
11/12/2018,1215,38,239,2349,Tue,N,11,2265
12/12/2018,1582,62,236,2679,Wed,N,11,2695
13/12/2018,1630,53,215,2408,Thu,N,11,2943
14/12/2018,1647,48,210,2497,Fri,N,11,3131
15/12/2018,1612,39,193,2292,Sat,N,11,3004
16/12/2018,1654,63,235,2679,Sun,N,11,2944
17/12/2018,1664,50,223,2779,Mon,N,11,2690
18/12/2018,1374,48,196,2397,Tue,N,11,2467
19/12/2018,1891,53,270,2863,Wed,N,11,3166
20/12/2018,1705,46,235,2738,Thu,Y,11,3054
21/12/2018,2064,54,283,3072,Fri,Y,11,3567
22/12/2018,2291,74,266,2841,Sat,Y,11,3680
23/12/2018,1666,45,203,2260,Sun,Y,11,3001
24/12/2018,1248,51,162,1910,Mon,Y,11,2378
25/12/2018,1337,41,159,1894,Tue,Y,11,2240
26/12/2018,1557,65,200,2299,Wed,Y,11,2602
27/12/2018,1383,41,154,1957,Thu,Y,11,2376
28/12/2018,1747,31,155,2220,Fri,Y,11,2863
29/12/2018,1784,25,109,2047,Sat,Y,11,2854
30/12/2018,1393,19,99,1649,Sun,Y,11,2470
31/12/2018,1230,11,84,1510,Mon,Y,11,2227
01/01/2019,1353,15,103,1924,Tue,Y,12,2482
02/01/2019,2150,25,156,2560,Wed,N,12,3246
03/01/2019,2075,29,170,2493,Thu,N,12,3222
04/01/2019,2095,31,149,2613,Fri,N,12,3121
05/01/2019,2209,34,149,2630,Sat,N,12,3325
06/01/2019,2222,46,245,3304,Sun,N,12,3591
07/01/2019,2305,54,243,3502,Mon,N,12,3417
08/01/2019,1946,60,210,2783,Tue,N,12,2934
09/01/2019,2168,46,235,2833,Wed,N,12,3204
10/01/2019,2124,35,213,2417,Thu,N,12,3122
11/01/2019,2157,52,233,2639,Fri,N,12,3286
12/01/2019,2111,41,165,2453,Sat,N,12,3124
13/01/2019,2195,35,224,3040,Sun,N,12,3247
14/01/2019,2218,54,242,3150,Mon,N,12,3050
15/01/2019,1856,48,183,2651,Tue,N,12,2808
16/01/2019,2013,45,271,2892,Wed,N,12,3112
17/01/2019,2022,43,181,2569,Thu,N,12,3002
18/01/2019,1951,46,202,2523,Fri,N,12,3130
19/01/2019,1860,31,166,2367,Sat,N,12,3089
20/01/2019,2029,49,270,3005,Sun,N,12,3231
21/01/2019,1935,45,234,3207,Mon,N,12,2927
22/01/2019,1576,64,216,2574,Tue,N,12,2598
23/01/2019,1937,51,239,2784,Wed,N,12,2906
24/01/2019,1857,43,191,2271,Thu,N,12,2885
25/01/2019,1767,31,188,2388,Fri,N,12,3138
26/01/2019,1598,43,172,2273,Sat,N,12,2883
27/01/2019,1833,41,252,2759,Sun,N,12,3025
28/01/2019,1639,43,218,2395,Mon,N,12,2626
29/01/2019,1509,31,201,2053,Tue,N,12,2458
30/01/2019,1859,47,206,2374,Wed,N,12,3029
31/01/2019,2202,47,216,2584,Thu,N,12,3520
01/02/2019,2587,92,345,3223,Fri,Y,13,4062
